OrderNumber,CustomerID,City,Prov,PostalCode,OrderFirstTime,Source,Price,ItemCode,ItemDescription,Category,Quantity
X6612539,7236714,HAMILTON,ON,L8T4T7,N,WEB,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335156,4630885,RICHMOND HILL,ON,L4B2S3,N,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4336621,4630885,RICHMOND HILL,ON,L4B2S3,N,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335223,543215,VICTORIA,BC,V9C1B9,N,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4335134,36155893,SCARBOROUGH,ON,M1G2V1,Y,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6612217,25800277,TORONTO,ON,M6B2W8,N,WEB,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4338436,36344554,NORTH YORK,ON,M2N1W7,Y,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611370,24020034,MISSISSAUGA,ON,L5T2P9,N,IVR,5199.96,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,4
R4336888,1175684362,KINCARDINE,ON,N2Z2N6,N,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4336813,2749224,SMITHS FALLS,ON,K7A4S6,N,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4337658,3481496,WINNIPEG,MB,R2R0V2,N,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
R4339298,21700935,NORTH YORK,ON,M2R1X3,N,REGULAR,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
X6611391,25222613,STONEY CREEK,ON,L8E2S9,N,WEB,1299.99,601535,"ACER ASPIRE 16"" MULTIMEDIA NOTEBOOK COMPUTER",EC90,1
