Selected,CustomerID,ItemCode,Source,Category,Price,Quantity,OrderNumber,City,Prov,OrderFirstTime,Month,Year
1,338988,R3255740,REGULAR,K,229.99,1,R4335883,DARTMOUTH,NS,N,Oct,2007
1,338988,R3196503,REGULAR,C,169.47,2,R4335883,DARTMOUTH,NS,N,May,2007
1,338988,R3196503,REGULAR,C,49.99,2,R4335883,DARTMOUTH,NS,N,May,2007
1,338988,R3463471,REGULAR,C,139.92,1,R4335883,DARTMOUTH,NS,N,Nov,2007
1,338988,R3474047,REGULAR,K,39.99,4,R4335883,DARTMOUTH,NS,N,Nov,2007
1,338988,R3474047,REGULAR,C,69.96,4,R4335883,DARTMOUTH,NS,N,Nov,2007
1,338988,R3474047,REGULAR,C,49.99,4,R4335883,DARTMOUTH,NS,N,Nov,2007
1,338988,R3474047,REGULAR,C,59.96,4,R4335883,DARTMOUTH,NS,N,Nov,2007
1,338988,R3220816,REGULAR,C,79.92,1,R4335883,DARTMOUTH,NS,N,Oct,2007
1,338988,R2853530,REGULAR,C,59.96,3,R4335883,DARTMOUTH,NS,N,Jul,2007
1,338988,R2853530,REGULAR,C,59.96,3,R4335883,DARTMOUTH,NS,N,Jul,2007
1,338988,R2853530,REGULAR,C,49.99,3,R4335883,DARTMOUTH,NS,N,Jul,2007
1,338988,R3321073,REGULAR,F,129.98,2,R4335883,DARTMOUTH,NS,N,Oct,2007
1,338988,R3321073,REGULAR,F,129.98,2,R4335883,DARTMOUTH,NS,N,Oct,2007
1,338988,R2897082,REGULAR,F,96.96,2,R4335883,DARTMOUTH,NS,N,May,2007
1,338988,R2897082,REGULAR,F,96.96,2,R4335883,DARTMOUTH,NS,N,May,2007
1,338988,R3824696,REGULAR,C,59.99,7,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3824696,REGULAR,C,89.96,7,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3824696,REGULAR,C,139.92,7,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3824696,REGULAR,C,17.99,7,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3824696,REGULAR,C,59.96,7,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3905712,REGULAR,H,24.99,2,R4335883,DARTMOUTH,NS,N,Nov,2008
1,338988,R3824696,REGULAR,C,39.99,7,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3824696,REGULAR,C,69.96,7,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3839042,REGULAR,B,64.49,1,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3550107,REGULAR,H,39.96,5,R4335883,DARTMOUTH,NS,N,Jul,2007
1,338988,R3550107,REGULAR,H,39.96,5,R4335883,DARTMOUTH,NS,N,Jul,2007
1,338988,R3550107,REGULAR,H,22.97,5,R4335883,DARTMOUTH,NS,N,Jul,2007
1,338988,R3550107,REGULAR,H,189.86,5,R4335883,DARTMOUTH,NS,N,Jul,2007
1,338988,R4057607,REGULAR,C,238.57,1,R4335883,DARTMOUTH,NS,N,Dec,2008
1,338988,R3871436,REGULAR,B,64.49,1,R4335883,DARTMOUTH,NS,N,Apr,2008
1,338988,R3905712,REGULAR,H,24.99,2,R4335883,DARTMOUTH,NS,N,Nov,2008
1,338988,R3854032,REGULAR,F,92.98,2,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R3854032,REGULAR,F,69,2,R4335883,DARTMOUTH,NS,N,Jan,2008
1,338988,R4115662,REGULAR,F,54.98,2,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4115662,REGULAR,F,159,2,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4082668,REGULAR,F,42,4,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4082668,REGULAR,F,19.99,4,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4089900,REGULAR,B,69.99,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4089900,REGULAR,B,59.87,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4089900,REGULAR,B,29.99,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4089900,REGULAR,B,59.87,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4089900,REGULAR,B,79.99,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4274242,REGULAR,F,129.96,2,R4335883,DARTMOUTH,NS,N,Apr,2008
1,338988,R4082668,REGULAR,F,19.99,4,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4082668,REGULAR,F,19.99,4,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4113027,REGULAR,C,23.96,3,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4113027,REGULAR,C,29.99,3,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4113027,REGULAR,C,49.96,3,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4178568,REGULAR,F,92.98,2,R4335883,DARTMOUTH,NS,N,Apr,2008
1,338988,R4104318,REGULAR,C,69.96,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4104318,REGULAR,C,209.88,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4104318,REGULAR,C,39.96,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4104318,REGULAR,C,79.99,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4104318,REGULAR,C,29.99,5,R4335883,DARTMOUTH,NS,N,Mar,2008
1,338988,R4274242,REGULAR,F,129.96,2,R4335883,DARTMOUTH,NS,N,Apr,2008
1,338988,R4178568,REGULAR,F,39,2,R4335883,DARTMOUTH,NS,N,Apr,2008
1,338988,R3550107,REGULAR,H,22.97,5,R4335883,DARTMOUTH,NS,N,Jul,2007
1,418905,R3930144,REGULAR,Z,0,2,R4338562,BRAMPTON,ON,N,Feb,2008
1,418905,R3930144,REGULAR,C,92.86,2,R4338562,BRAMPTON,ON,N,Feb,2008
